key,name,parentKey
1,불고기,1
2,찜닭,1
3,닭볶음탕,1
4,스테이크,1
5,월남쌈,1
6,수육,1
7,아귀찜,1
8,쌈밥,1
9,낙지볶음,1
10,된장찌개,2
11,김치찌개,2
12,부대찌개,2
13,순두부찌개,2
14,청국장찌개,2
15,동태찌개,2
16,비지찌개,2
17,고추장찌개,2
18,오징어찌개,2
19,카레,3
20,비빔밥,3
21,오므라이스,3
22,김치볶음밥,3
23,제육덮밥,3
24,연어덮밥,3
25,치킨마요덮밥,3
26,돈부리,3
27,오징어덮밥,3
28,라멘,4
29,토마토스파게티,4
30,크림스파게티,4
31,냉면,4
32,김치국수,4
33,비빔국수,4
34,칼국수,4
35,우동,4
36,콩국수,4
37,육개장,5
38,닭개장,5
39,떡국,5
40,소고기무국,5
41,시래깃국,5
42,갈비탕,5
43,추어탕,5
44,삼계탕,5
45,대구탕,5
46,샌드위치,6
47,프렌치토스트,6
48,떡볶이,6
49,시리얼,6
50,샐러드,6
51,밥버거,6
52,핫도그,6
53,편의점도시락,6
54,김밥/유부초밥,6
55,초밥,7
56,짜장면,7
57,짬뽕,7
58,깐풍기,7
59,마파두부,7
60,잡채,7
61,팟타이,7
62,쌀국수,7
63,햄버거,7
64,순대국,8
65,콩나물국밥,8
66,북어국,8
67,홍합탕,8
68,뼈해장국,8
69,대파라면,8
70,매생이국,8
71,선지해장국,8
72,우거지국,8
